Date,Close Price
03-Oct-23,128
04-Oct-23,125.3
05-Oct-23,125.25
06-Oct-23,125.9
09-Oct-23,123.8
10-Oct-23,125.25
11-Oct-23,124.95
12-Oct-23,125.85
13-Oct-23,125
16-Oct-23,127
17-Oct-23,127.35
18-Oct-23,127.1
19-Oct-23,125.9
20-Oct-23,123.1
23-Oct-23,120
25-Oct-23,121.35
26-Oct-23,119.9
27-Oct-23,119.9
30-Oct-23,119.15
31-Oct-23,118.75
01-Nov-23,116.6
02-Nov-23,118.15
03-Nov-23,117.3
06-Nov-23,119.4
07-Nov-23,119.75
08-Nov-23,119.05
09-Nov-23,119.7
10-Nov-23,120.1
12-Nov-23,120.85
13-Nov-23,120.95
15-Nov-23,124
16-Nov-23,124.7
17-Nov-23,125.15
20-Nov-23,124.45
21-Nov-23,126.25
22-Nov-23,126.1
23-Nov-23,126.7
24-Nov-23,125.9
28-Nov-23,126.85
29-Nov-23,127.7
30-Nov-23,127.95
01-Dec-23,129.95
04-Dec-23,130.95
05-Dec-23,131.6
06-Dec-23,131.8
07-Dec-23,130
08-Dec-23,129.2
11-Dec-23,130.05
12-Dec-23,130.15
13-Dec-23,131.35
14-Dec-23,132
15-Dec-23,136.4
18-Dec-23,136.6
19-Dec-23,135.4
20-Dec-23,129.7
21-Dec-23,131
22-Dec-23,133.5
26-Dec-23,135.2
27-Dec-23,137.15
28-Dec-23,138.15
29-Dec-23,139.5
01-Jan-24,139.9
02-Jan-24,139.55
03-Jan-24,135.3
04-Jan-24,134.25
05-Jan-24,133.65
08-Jan-24,132.05
09-Jan-24,133.65
10-Jan-24,134.1
11-Jan-24,134.9
12-Jan-24,135.3
15-Jan-24,134.95
16-Jan-24,137.25
17-Jan-24,131.65
18-Jan-24,131.05
19-Jan-24,134.2
20-Jan-24,133.9
23-Jan-24,130.1
24-Jan-24,135.15
25-Jan-24,133.65
29-Jan-24,135
30-Jan-24,134.7
31-Jan-24,135.9
01-Feb-24,134.8
02-Feb-24,138.7
05-Feb-24,141.5
06-Feb-24,144.7
07-Feb-24,144.35
08-Feb-24,143.7
09-Feb-24,141.3
12-Feb-24,137.4
13-Feb-24,137.9
14-Feb-24,141.15
15-Feb-24,141.2
16-Feb-24,142.35
19-Feb-24,141.9
20-Feb-24,141.05
21-Feb-24,143.85
22-Feb-24,145.85
23-Feb-24,145.5
26-Feb-24,142.6
27-Feb-24,144.15
28-Feb-24,140.75
29-Feb-24,140.9
01-Mar-24,150
02-Mar-24,155.15
04-Mar-24,153.1
05-Mar-24,151.85
06-Mar-24,151.35
07-Mar-24,157.25
11-Mar-24,153.5
12-Mar-24,152.45
13-Mar-24,143.5
14-Mar-24,142.5
15-Mar-24,141.55
18-Mar-24,149.6
19-Mar-24,148.65
20-Mar-24,145.7
21-Mar-24,150.05
22-Mar-24,151.95
26-Mar-24,152.3
27-Mar-24,152.85
28-Mar-24,155.9
01-Apr-24,163.1
02-Apr-24,164.65
03-Apr-24,163.6
04-Apr-24,163.4
05-Apr-24,163.35
08-Apr-24,165.15
09-Apr-24,165.95
10-Apr-24,165.15
12-Apr-24,163.5
15-Apr-24,160.9
16-Apr-24,160.05
18-Apr-24,160
19-Apr-24,162.1
22-Apr-24,161.85
23-Apr-24,161.1
24-Apr-24,165.5
25-Apr-24,167.6
26-Apr-24,165.85
29-Apr-24,167.4
30-Apr-24,164.95
02-May-24,167.35
03-May-24,166.45
06-May-24,167.6
07-May-24,164.2
08-May-24,166.05
09-May-24,162
10-May-24,162.35
13-May-24,163.85
14-May-24,164.95
15-May-24,165.6
16-May-24,165.9
17-May-24,167.25
18-May-24,167.9
21-May-24,174.3
22-May-24,173.3
23-May-24,175.45
24-May-24,174.8
27-May-24,175.5
28-May-24,174.85
29-May-24,174.2
30-May-24,164.2
31-May-24,167.15
03-Jun-24,174.25
04-Jun-24,158.8
05-Jun-24,169.2
06-Jun-24,172
07-Jun-24,178.95
10-Jun-24,180.2
11-Jun-24,181.35
12-Jun-24,182.25
13-Jun-24,182.5
14-Jun-24,183.05
18-Jun-24,181.15
19-Jun-24,180.05
20-Jun-24,182.35
21-Jun-24,179.85
24-Jun-24,177.9
25-Jun-24,175.7
26-Jun-24,172.55
27-Jun-24,174.15
28-Jun-24,174
01-Jul-24,174.1
02-Jul-24,174.5
03-Jul-24,176.35
04-Jul-24,176.25
05-Jul-24,174.75
08-Jul-24,172.3
09-Jul-24,171.8
10-Jul-24,168
11-Jul-24,169
12-Jul-24,168.7
15-Jul-24,166.8
16-Jul-24,167.05
18-Jul-24,166.35
19-Jul-24,157.75
22-Jul-24,160.35
23-Jul-24,160.05
24-Jul-24,160.3
25-Jul-24,157.45
26-Jul-24,162.6
29-Jul-24,162.85
30-Jul-24,164.05
31-Jul-24,165.35
01-Aug-24,163.05
02-Aug-24,158.2
05-Aug-24,149.8
06-Aug-24,150.25
07-Aug-24,153.85
08-Aug-24,150.5
09-Aug-24,151.8
12-Aug-24,152.05
13-Aug-24,148.9
14-Aug-24,146.2
16-Aug-24,149.55
19-Aug-24,153.95
20-Aug-24,154
21-Aug-24,151.9
22-Aug-24,154.1
23-Aug-24,154.15
26-Aug-24,155.65
27-Aug-24,154.7
28-Aug-24,153.7
29-Aug-24,153
30-Aug-24,152.8
02-Sep-24,152.85
03-Sep-24,152.1
04-Sep-24,151.3
05-Sep-24,151.75
06-Sep-24,151.25
09-Sep-24,149.4
10-Sep-24,149.45
11-Sep-24,148.15
12-Sep-24,151.75
13-Sep-24,153.4
16-Sep-24,154.2
17-Sep-24,152.8
18-Sep-24,150.6
19-Sep-24,149.6
20-Sep-24,152.05
23-Sep-24,153.95
24-Sep-24,160.55
25-Sep-24,161.6
26-Sep-24,165.6
27-Sep-24,166.5
30-Sep-24,168.45
